"artist_id","artist_name","embedding","image_url"
135186,"Gorillaz","[0.12226735201690497, -0.139918836032783, -0.05739382950439804, -0.041869434041437, -0.08895613016348144, -0.2463069934054378, -0.11032310863029315, -0.01265776216050514, -0.2793912063789501, 0.019635755730767458, -0.10697079092724389, 0.12770993722691834, 0.07259447813009594, 0.31347309790116257, 0.13385159097622434, -0.08103253252072393, -0.24164346910575607, -0.24723405369331736, -0.11039713731445135, 0.024008343321921383, 0.10367548073506257, -0.39097132529599543, -0.011754153799890994, 0.006387842988644196, 0.05244919018716512, -0.16434548014150263, 0.22649780752462217, 0.2735139788568017, 0.485322667971588, 0.059580024104139845, 0.19234722205576538, -0.09442420726151456]","https://i.scdn.co/image/8fcbb9905eaf86200fcc83687d48d36604350b98"
289296,"Dam","[0.24095539337821076, -0.17487528812620357, -0.03658207264696728, -0.05820453037353663, -0.017579597393800155, -0.1494835534546835, -0.16924256166075793, -0.10932022024246424, -0.2661948874083019, 0.03601183621706087, -0.1819864733834071, 0.017862954456458628, 0.006550548331344274, 0.23070837263216135, 0.01387312522608264, -0.13285141432317016, -0.15772835437285215, -0.3888654765480333, -0.11818236592549998, -0.12748838181579028, 0.0022377548072294406, -0.5335890141009533, 0.025540875262547325, 0.13158600580382002, 0.06872308588643357, -0.17961254712745844, 0.23403150940377782, 0.24020193675715212, 0.4238652702385929, 0.05569655881609337, 0.13158647377078314, -0.061790867915064815]",
164890,"Neşe Karaböcek","[0.06281089782714844, -0.13471099734306335, -0.06163709983229637, -0.038278400897979736, -0.3813380002975464, -0.2712570130825043, 0.11873099952936172, -0.0036894099321216345, -0.2501530051231384, 0.22362099587917328, -0.1672230064868927, -0.17974400520324707, -0.11208000034093857, 0.4622209966182709, -0.14643900096416473, 0.04335309937596321, -0.4754529893398285, -0.48910701274871826, -0.010814099572598934, 0.13119499385356903, 0.6940749883651733, -0.43634000420570374, 0.20016199350357056, 0.00907833967357874, 0.24339400231838226, 0.07841130346059799, 0.14892899990081787, 0.061106301844120026, 0.482681006193161, -0.07694750279188156, -0.029497800394892693, -0.05022729933261871]","https://i.scdn.co/image/992b092c8e5e257b220aff4b5fbba838b4c8c4ad"
12891,"Inner City","[0.10217724119623502, -0.15075066747764745, -0.03369150900592407, -0.0852801336441189, 0.04304224854179969, -0.23010683556397757, -0.27313300346334773, 0.03870518818924514, -0.24753630782167116, 0.05748722655698657, -0.04273857506147275, 0.1180691512612005, -0.1761014355967442, 0.27909100738664466, 0.04485204187221825, -0.16568376876724264, -0.136987599854668, -0.40445274983843166, -0.13159279121706882, -0.022481953958049417, 0.06997649767436087, -0.6139790887633959, 0.20031908041952798, 0.09827780172539254, 0.08744890134160717, -0.12279036509183545, 0.3037349134683609, 0.23678333312273026, 0.2683768334488074, -0.06127523413548867, 0.16338489949703217, -0.10253869912897547]",
9021,"Kevin Krauter","[0.15415299870073795, -0.09874782525002956, -0.024770325049757957, -0.0047828503884375095, -0.11540442728437483, -0.18105024844408035, -0.13688284903764725, -0.01568557578139007, -0.3034364953637123, 0.019609400304034352, -0.07454122602939606, 0.13035225123167038, 0.1126699261367321, 0.2896222472190857, 0.07439572620205581, -0.03701702691614628, -0.35368475317955017, -0.3089832551777363, -0.08739772439002991, 0.027349606505595148, 0.05476537439972162, -0.35614175349473953, -0.06930769979953766, -0.05341247911565006, 0.046058525098487735, -0.23260000348091125, 0.22448300383985043, 0.22635750100016594, 0.49907125532627106, 0.11717292573302984, 0.15009200014173985, -0.02676916419841291]","https://i.scdn.co/image/03c060020ff0828f695d57995a13b2e8b1c1c910"
20093,"Korn","[-0.021424328642232076, -0.30660285694258554, 0.03382797452754208, -0.18103475882006542, -0.2028107132230486, -0.32392057350703646, -0.12742094189992972, -0.25940585881471634, -0.1625674847247345, 0.15281241333910398, -0.17944928258657455, 0.06265103417847838, 0.20223185632910048, 0.2713509989636285, 0.21207828926188604, -0.14729659658457553, -0.2854201431785311, -0.30481571171964916, 0.006453756242990494, -0.08464753860607743, -0.05353883680488382, -0.38358528699193684, -0.13596568469490325, -0.06697604352874416, 0.014592371082731656, -0.22836757131985255, 0.3414859984602247, 0.12787228423569882, 0.4336012899875641, -0.006441707589796611, 0.17908614448138646, 0.022338970032121454]",
127988,"Eluveitie","[0.12453299760818481, -0.27345699071884155, -0.030515199527144432, 0.051858000457286835, -0.3050349950790405, -0.30834800004959106, 0.023593299090862274, -0.6561539769172668, -0.32073599100112915, 0.26499998569488525, -0.6574620008468628, -0.02864539995789528, 0.11627499759197235, 0.04616620019078255, -0.07586999982595444, -0.20024099946022034, -0.015243900008499622, -0.5741119980812073, 0.01876850053668022, 0.006125729996711016, -0.24814799427986145, -0.5594390034675598, -0.006670160219073296, -0.2529299855232239, 0.1337530016899109, -0.22922199964523315, 0.29132500290870667, -0.30387601256370544, 0.40258198976516724, 0.2585650086402893, 0.383542001247406, -0.466266006231308]","https://i.scdn.co/image/fbc16ed4400a74e6b9085c57b2fbe9714c4f065a"
4626,"Soviet Soviet","[0.07153099775314331, 0.002597465800742308, -0.11194314869741599, -0.028053416560093563, -0.08058306761085987, -0.16595075031121573, -0.13806156938274702, 0.015049955322562406, -0.27034366379181546, -0.020880717628945906, -0.07887486865123113, 0.08664433223505814, 0.15436805101732412, 0.29502416402101517, 0.2525816559791565, -0.0362343347320954, -0.3290608301758766, -0.30976733565330505, -0.07891968358308077, -0.00035499571822583675, 0.07140013327201207, -0.36660583813985187, -0.007457132218405604, -0.06904586683958769, -3.832892010298868e-06, -0.18359350164731345, 0.2784025048216184, 0.2382344976067543, 0.4816535065571467, 0.1776715343197187, 0.2310148316125075, -0.11094346456229687]","https://i.scdn.co/image/c47d0590c84d413e2413cc8a9551b18e7758e6e7"
113282,"Buckethead","[0.08558785766363144, -0.20692875944077968, -0.05321131870150566, -0.2653160184621811, -0.11644762232899666, -0.3287481993436813, -0.034124118834733964, -0.10181220024824142, -0.2083931827917695, 0.18422025311738252, -0.058564554899930954, 0.2527861077338457, 0.15611773878335952, 0.13639125376939773, 0.14502184092998505, -0.20712074004113673, -0.30284280329942703, -0.52015820145607, 0.013120067957788705, -0.018872779794037342, -0.02981291338801384, -0.46379160284996035, -0.12866826206445695, -0.15801871847361326, 0.2367514356970787, 0.030766938626766206, 0.2830891996622086, -0.0015627413988113404, 0.4403402030467987, -0.10964879766106606, 0.1878338001668453, -0.2600015938282013]","https://i.scdn.co/image/d6e7fc72d7d9527f4479f085ccd1f3184d38f71f"
383836,"Floodlights","[0.15118899941444397, 0.07142359763383865, -0.09020689874887466, -0.2470480054616928, -0.15404799580574036, -0.09601060301065445, -0.2685529887676239, -0.16056199371814728, -0.26454100012779236, -0.10796499997377396, -0.04296239838004112, 0.16889099776744843, 0.00981714017689228, 0.3441449999809265, 0.3082500100135803, -0.2902109920978546, -0.3264780044555664, -0.16883499920368195, -0.18325600028038025, 0.03118330053985119, 0.1466750055551529, -0.21512700617313385, 0.16861200332641602, -0.07016140222549438, 0.14011800289154053, -0.1089790016412735, 0.40869900584220886, 0.277756005525589, 0.5099850296974182, 0.20948399603366852, 0.1396069973707199, 0.02993069961667061]",
21725,"Jessica Care Moore","[0.12033200263977051, -0.06442269682884216, -0.2463179975748062, -0.2015870064496994, 0.09971170127391815, -0.09252309799194336, -0.09887920320034027, 0.027994999662041664, -0.3178879916667938, 0.07775759696960449, 0.300570011138916, 0.006124990060925484, -0.3224340081214905, 0.23044799268245697, -0.04811830073595047, -0.20485199987888336, -0.10763200372457504, -0.4590499997138977, -0.06734669953584671, 0.01981949992477894, 0.29127299785614014, -0.567093014717102, 0.12453500181436539, 0.035542700439691544, -0.05410970002412796, -0.2974660098552704, 0.36059999465942383, 0.18629400432109833, 0.44760599732398987, 0.25472599267959595, 0.24809400737285614, -0.10550300031900406]",
